dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
334,11,12.24,0.5169,2.17,29.097261904761872,0.0,1.266228297,803.7032382777777
334,12,12.83,0.4825,1.8,33.35874999999997,0.0,1.262102893,801.0847528055555
334,13,13.04,0.4606,1.57,34.767678571428554,0.0,0.9772471761,620.2804993055555
334,14,12.78,0.4575,1.45,37.568809523809485,0.0,0.6678419288,423.8941131666666
334,15,12.1,0.4894,1.36,38.89684523809522,0.0,0.3213756804,203.98428599999997
334,16,10.01,0.6462,0.84,36.39713095238092,0.0,0.06221919737,39.49190722222222
334,17,8.3,0.6944,1.14,24.456190476190447,0.0,0.0,0.0
334,18,7.85,0.71,1.55,13.383428571428562,0.0,0.0,0.0
334,19,7.48,0.7369,2.1,9.505732142857132,0.0,0.0,0.0
334,20,6.92,0.7818999999999999,2.45,10.97995833333332,0.0,0.0,0.0
334,21,6.26,0.8319,2.32,11.985803571428564,0.0,0.0,0.0
334,22,5.74,0.8681,2.19,10.763607142857136,0.0,0.0,0.0
334,23,5.23,0.9018999999999999,1.91,9.316827380952377,0.0,0.0,0.0
335,0,4.37,0.9569,1.65,6.593583333333328,0.0,0.0,0.0
335,1,3.97,0.9843999999999999,1.58,5.38933928571428,0.0,0.0,0.0
335,2,3.69,1.0,1.54,4.039249999999997,0.0,0.0,0.0
335,3,3.44,1.0,1.53,4.393642857142853,0.0,0.0,0.0
335,4,3.23,1.0,1.56,4.065898809523805,0.0,0.0,0.0
335,5,3.05,1.0,1.61,3.0787202380952357,0.0,0.0,0.0
335,6,2.9,1.0,1.64,2.4223749999999975,0.0,0.0,0.0
335,7,4.02,1.0,1.7,3.732410714285711,0.0,0.1520312562,96.49761677777776
335,8,7.55,0.825,3.04,9.15745238095237,0.0,0.499917725,317.3088893333333
335,9,10.41,0.6819,3.52,16.385083333333313,0.0,0.8105403054,514.4679438611112
335,10,12.67,0.5943999999999999,3.68,22.125553571428544,0.0,0.9909083477,628.9515485
335,11,13.92,0.5606,3.48,29.097261904761872,0.0,0.7983669842,506.74126636111106
335,12,14.34,0.56,3.26,33.35874999999997,0.0,0.7474419232,474.4179985
