mm,dd,hr,vd,NOT_EXIST
2,86,8,0.010540857,0.010540857
2,86,9,0.00736392,0.00736392
2,86,10,0.011070749,0.011070749
2,86,11,0.007460917,0.007460917
2,86,12,0.007564533,0.007564533
2,86,13,0.00852987,0.00852987
2,86,14,0.011167401,0.011167401
2,86,15,0.01317137,0.01317137
2,86,16,0.010944216,0.010944216
2,86,17,0.010984462,0.010984462
2,86,18,0.006360809,0.006360809
2,86,19,0.007069412,0.007069412
2,86,20,0.004464053,0.004464053
2,86,21,0.009001609,0.009001609
2,86,22,0.006588749,0.006588749
2,86,23,0.0070129,0.0070129
2,87,0,0.004859914,0.004859914
2,87,1,0.007715975,0.007715975
2,87,2,0.014120413,0.014120413
2,87,3,0.013208119,0.013208119
2,87,4,0.0107187,0.0107187
2,87,5,0.014622097,0.014622097
2,87,6,0.014515811,0.014515811
2,87,7,0.01520576,0.01520576
2,87,8,0.011331321,0.011331321
2,87,9,0.012616134,0.012616134
2,87,10,0.012152744,0.012152744
2,87,11,0.009203449,0.009203449
2,87,12,0.014210939,0.014210939
2,87,13,0.012209318,0.012209318
2,87,14,0.009252874,0.009252874
2,87,15,0.00960821,0.00960821
2,87,16,0.01075533,0.01075533
2,87,17,0.00730538,0.00730538
2,87,18,0.007619636,0.007619636
2,87,19,0.008452589,0.008452589
2,87,20,0.007950087,0.007950087
2,87,21,0.015243754,0.015243754
2,87,22,0.012583694,0.012583694
2,87,23,0.009856646,0.009856646
2,88,0,0.011686248,0.011686248
2,88,1,0.007708352,0.007708352
2,88,2,0.011168577,0.011168577
2,88,3,0.007654912,0.007654912
2,88,4,0.013913728,0.013913728
2,88,5,0.009013275,0.009013275
2,88,6,0.008201536,0.008201536
2,88,7,0.012436009,0.012436009
2,88,8,0.011406685,0.011406685
2,88,9,0.005502827,0.005502827
2,88,10,0.008471268,0.008471268
2,88,11,0.012967134,0.012967134
2,88,12,0.014858278,0.014858278
2,88,13,0.010572702,0.010572702
2,88,14,0.014344453,0.014344453
2,88,15,0.01400998,0.01400998
2,88,16,0.010178829,0.010178829
2,88,17,0.014066026,0.014066026
2,88,18,0.007493329,0.007493329
2,88,19,0.01446062,0.01446062
2,88,20,0.008069851,0.008069851
2,88,21,0.012139801,0.012139801
2,88,22,0.010625657,0.010625657
2,88,23,0.012694197,0.012694197
2,89,0,0.011704883,0.011704883
2,89,1,0.01368101,0.01368101
2,89,2,0.014604009,0.014604009
2,89,3,0.010023313,0.010023313
2,89,4,0.01118208,0.01118208
2,89,5,0.013141535,0.013141535
2,89,6,0.012820118,0.012820118
2,89,7,0.005251906,0.005251906
2,89,8,0.006647141,0.006647141
2,89,9,0.009734034,0.009734034
2,89,10,0.009276495,0.009276495
2,89,11,0.014076908,0.014076908
2,89,12,0.013103139,0.013103139
2,89,13,0.01154993,0.01154993
2,89,14,0.011209477,0.011209477
2,89,15,0.011833424,0.011833424
2,89,16,0.013498212,0.013498212
2,89,17,0.012881824,0.012881824
2,89,18,0.012820761,0.012820761
2,89,19,0.01264981,0.01264981
2,89,20,0.011075141,0.011075141
2,89,21,0.008415679,0.008415679
2,89,22,0.012791848,0.012791848
2,89,23,0.013655724,0.013655724
3,90,0,0.014766284,0.014766284
3,90,1,0.014157432,0.014157432
3,90,2,0.009999759,0.009999759
3,90,3,0.015084356,0.015084356
3,90,4,0.011307292,0.011307292
3,90,5,0.014173,0.014173
3,90,6,0.013218813,0.013218813
3,90,7,0.008309669,0.008309669
