,g_sv_per_layer,g_sv_sunlit,A_n,A_n_sunlit,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,c_i_sunlit,f_VPD,v_cmax,j_max,f_VPD_alt,loop_iterations
3277,"[20000, np.float64(353803.71066771727), np.float64(137290.96422774252)]",494666.63457249873,102.26563935620285,29.902529249486225,259.09588354595746,124.30432897833339,263.81056518959986,"['NA', 'A_c', 'A_c']",7.914316955687996,2741.2767136671478,310.0053236388626,"[1.0, np.float64(0.6705283044870636), np.float64(0.6705028916689283)]",62.81204040763495,202.9551312714828,"[1.0, np.float64(0.7049650268302556), np.float64(0.6847564260809961)]",1
3278,"[20000, np.float64(359301.02238411084), np.float64(138603.72505359544)]",503951.77273182746,102.95506617753415,30.208341730394665,261.8148483862956,124.1353778963574,268.8151856472542,"['NA', 'A_c', 'A_c']",8.064455569417628,2740.2504557255243,309.8356902329163,"[1.0, np.float64(0.6748025531517027), np.float64(0.6747771451966152)]",64.00361672750351,205.54624116401476,"[1.0, np.float64(0.7101713970902439), np.float64(0.6894020323218351)]",1
3279,"[20000, np.float64(356311.99954893766), np.float64(142311.93577066506)]",492387.96518709697,103.53716118128054,29.381373413013183,254.4733308072033,122.56137552731805,255.64935923584272,"['NA', 'A_c', 'A_c']",7.669480777075282,2735.3817915839218,310.2026490760995,"[1.0, np.float64(0.6789628325252649), np.float64(0.6789365019182644)]",60.86889609961983,198.69238506554714,"[1.0, np.float64(0.7146631405494253), np.float64(0.694256915921042)]",1
3280,"[20000, np.float64(346174.00255796104), np.float64(131295.494558941)]",511799.9253628015,96.66021569835411,30.095841441103357,260.827896425478,113.6686807285147,267.41682676833705,"['NA', 'A_c', 'A_c']",8.022504803050111,2745.2408447167572,309.4457388896426,"[1.0, np.float64(0.6853994720373285), np.float64(0.6853729192631147)]",63.67067413157753,204.8239730912223,"[1.0, np.float64(0.7212478787776173), np.float64(0.7001341165461331)]",1
3281,"[20000, np.float64(297729.47242112894), np.float64(107162.33884304244)]",510150.91165460413,79.24345975165082,29.69787593897463,257.30264311168946,92.99286122828364,261.33872803436486,"['NA', 'A_c', 'A_c']",7.840161841030946,2770.547195889015,309.22534830459296,"[1.0, np.float64(0.6913441625590454), np.float64(0.6913164716399042)]",62.223507741537496,201.6689843855527,"[1.0, np.float64(0.7235334050360159), np.float64(0.7039612786648364)]",1
3282,"[20000, np.float64(178205.4211864398), np.float64(71143.27459935387)]",364859.87845288735,46.669967199408305,21.421685157342043,209.0379952710532,56.22049811220437,185.5073734401551,"['NA', 'A_p', 'A_p']",5.565221203204652,2827.5863174017254,313.90916699939106,"[1.0, np.float64(0.6941255287872699), np.float64(0.6940991041953218)]",44.16842300482895,159.86921333159077,"[1.0, np.float64(0.7157548841396444), np.float64(0.703259270022333)]",1
3283,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,-6.017991775236501,-0.7438047637988764,238.09594748072192,0.8679476195204427,229.5313131585648,"['NA', 'A_j', 'A_j']",6.885939394756944,3590.7470907935835,428.86353918345515,"[1.0, np.float64(0.7027325364453109), np.float64(0.7027171245301372)]",54.65031359366367,184.72047173041761,"[1.0, np.float64(0.7054421793856317), np.float64(0.7054421793856316)]",1
3284,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",6.187449288501025,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",49.10674122675863,171.7994043314706,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3285,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",4.188957214022901,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",33.24569274471109,131.76937561144044,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3286,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.0664032310018685,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",40.209550141702366,149.98160721512528,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3287,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",4.60860867501371,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",36.576259952527245,140.62098506110215,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3288,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",3.6748329001373374,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",28.159638159041258,117.67201344441935,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3289,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",4.107484954990418,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",31.47497946693395,126.94633525247933,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3290,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",3.8877902883197857,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",29.791495486292277,122.27865792651335,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3291,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",3.6541409856284637,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",28.00107943236666,117.21988006871646,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3292,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",3.670685871523077,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",28.127860163038115,117.58146376713479,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3293,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",3.6624047908608124,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",28.064403608317903,117.40054897974937,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3294,"[20000, np.float64(198316.28968851606), np.float64(69232.25463309459)]",562007.8685465498,46.843139785808724,29.404297437335565,264.06591982307685,57.052800626317016,274.9507912677534,"['NA', 'A_c', 'A_c']",8.248523738032603,2941.6203142791346,299.1256442908955,"[1.0, np.float64(0.7352236146555791), np.float64(0.7352236146555792)]",63.20707638178046,203.81604788464108,"[1.0, np.float64(0.7669435883970209), np.float64(0.7478227898160753)]",1
3295,"[20000, np.float64(252601.7126235976), np.float64(118709.76273393101)]",315389.8457654659,76.8296323854821,17.936635064014904,193.84044646606614,89.23532512629961,160.87497955553678,"['NA', 'A_p', 'A_p']",4.8262493866661025,2883.32479645718,321.1541996781794,"[1.0, np.float64(0.7253013405557043), np.float64(0.7252871782017395)]",36.98275270930908,141.68292035913942,"[1.0, np.float64(0.7494710548203021), np.float64(0.7372220608276353)]",1
3296,"[20000, np.float64(315361.01696869766), np.float64(138404.8487428349)]",409508.1000668918,94.99250369374727,23.536435424298137,231.5496854532821,111.59610642187525,211.09999474152363,"['NA', 'A_p', 'A_p']",6.332999842245708,2862.651984152241,317.3541735850458,"[1.0, np.float64(0.7155597829304909), np.float64(0.7155455296826531)]",48.52873283360441,170.42450035170714,"[1.0, np.float64(0.7443280218210602), np.float64(0.7289649644477392)]",1
