,t_l_estimate,t_lse_constant,t_lma,t_lem,t_lep,t_lse,gamma_1,gamma_2,gamma_3,g_sto_0,m,V_cmax_25,J_max_25,PARsun,PARshade,LAI,D_0,g_bv,td_dd,fO3_d_prev,O3up_acc,Tleaf_C,O3up,eact,sinB,c_a,is_daylight
7857,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,353.039407297901,112.93798046581145,0.0,2.27,1950175.376728975,3200.2504166666677,1.0,71.76625728444685,7.87,0.0,0.46396000000000004,0.2714097827659301,391.0,True
7858,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,404.19322038572113,134.4426606520145,0.0,2.27,2140352.307448472,3200.2504166666677,1.0,71.76625728444685,6.12,0.0,0.29983000000000004,0.38523889994574667,391.0,True
7859,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,424.68852515127287,142.9268595923825,0.0,2.27,2277314.2075699614,3200.2504166666677,1.0,71.76625728444685,7.0,0.0,0.31668,0.45716806849249836,391.0,True
7860,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,406.6492128558333,136.8713046129362,0.0,2.27,2406493.7149305004,3200.2504166666677,1.0,71.76625728444685,11.33,0.0,0.61941,0.48229543443829526,391.0,True
7861,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,391.6167648907769,131.74763927192237,0.0,2.27,2342794.4852248565,3200.2504166666677,1.0,71.76625728444685,9.05,0.0,0.31521,0.4589086093188669,391.0,True
7862,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,356.4894526300735,118.53706151408925,0.0,2.27,2352000.0,3200.2504166666677,1.0,71.76625728444685,10.21,0.0,0.29962,0.3886013666175464,391.0,True
7863,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,276.763362765715,88.62536468811717,0.0,2.27,2442147.4156979136,3200.2504166666677,1.0,71.76625728444685,9.06,0.0,0.09631,0.27616502873621673,391.0,True
7864,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,114.14589508063722,36.90951729988402,0.0,2.27,2442147.4156979136,3200.2504166666677,1.0,71.76625728444685,10.56,0.0,0.26737,0.1292619462916567,391.0,True
7865,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,2424386.1078631845,3200.2504166666677,1.0,71.76625728444685,9.81,0.0,0.24904,0.0,391.0,False
7866,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,2352000.0,3200.2504166666677,1.0,71.76625728444685,7.66,0.0,0.1267,0.0,391.0,False
7867,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,2180362.3552061245,3200.2504166666677,1.0,71.76625728444685,8.57,0.0,0.19496,0.0,391.0,False
7868,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1983138.42179511,3200.2504166666677,1.0,71.76625728444685,8.11,0.0,0.15872999999999998,0.0,391.0,False
