,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
4386,16.27,398023.3901398795,1.0,23.192750176664696,34.58498695353442,23.434542708241757,41.90997265728482,A_j,0.24179253157706318,1,1.0,1.0,281.19008107659545,0.0
4387,17.9,128453.61292045696,1.0,7.000137653908746,38.691935598180144,7.273672276704893,49.185840250497456,A_j,0.27353462279614654,1,1.0,1.0,298.33201714387076,0.0
4388,17.08,16138.533157621996,1.0,-0.25712155279459725,45.487837768712,0.0,45.411790914137214,A_j,0.25712155279459725,1,1.0,1.0,416.7156052454194,-0.0
4389,14.39,16878.337068253782,1.0,-0.2093645142280542,38.482339288501166,0.0,34.626131086078026,A_j,0.2093645142280542,1,1.0,1.0,411.2829708968702,-0.0
4390,15.64,16574.14834886986,1.0,-0.23044967809680358,41.73072049991822,0.0,39.339726730847175,A_j,0.23044967809680358,1,1.0,1.0,413.8663904101627,-0.0
4391,15.01,16765.61258394468,1.0,-0.21959279566967824,40.09843938643954,0.0,36.900958953022275,A_j,0.21959279566967824,1,1.0,1.0,412.7917264615562,-0.0
4392,13.77,17039.20054380593,1.0,-0.19957150592336767,36.91444268565201,0.0,32.47194108980108,A_j,0.19957150592336767,1,1.0,1.0,410.4990436117304,-0.0
4393,14.18,16918.289797161957,1.0,-0.20599962516631362,37.984870254407355,0.0,33.88316588496713,A_j,0.20599962516631362,1,1.0,1.0,411.8391234660006,-0.0
4394,13.97,16976.984446197777,1.0,-0.20268401244636297,37.44722850323752,0.0,33.15389453921974,A_j,0.20268401244636297,1,1.0,1.0,411.43743760858274,-0.0
4395,13.85,17057.764274233334,1.0,-0.20081125114994558,37.102340883701984,0.0,32.74325734349144,A_j,0.20081125114994558,1,1.0,1.0,410.2767288113424,-0.0
4396,13.79,17045.43339104692,1.0,-0.1998807875427173,36.98762563401155,0.0,32.53958762647051,A_j,0.1998807875427173,1,1.0,1.0,411.0791260795022,-0.0
4397,13.82,32958.76963824204,1.0,0.8560669527122873,34.05953695382032,1.0564124805264017,32.641285461475334,A_j,0.2003455278141144,1,1.0,1.0,345.4523659123926,0.0
4398,19.64,450466.9765175881,1.0,20.48993771069306,37.64281715069239,20.801495526825438,57.953416764312514,A_j,0.31155781613237876,1,1.0,1.0,263.0965066744777,0.0
4399,15.77,606692.4232863415,1.0,29.607232876227048,32.41745723398443,29.83998272110877,39.8592336737317,A_j,0.23274984488172148,1,1.0,1.0,264.1396927424045,0.0
4400,17.7,688723.320690408,1.0,33.01564916081035,35.295724447685295,33.285095127173705,48.244020455934674,A_j,0.2694459663633569,1,1.0,1.0,264.3846785480581,0.0
4401,20.62,639912.9385259629,1.0,31.95580894624966,39.8591001121945,32.290836521743074,63.32622294493628,A_j,0.3350275754934125,1,1.0,1.0,273.2760922261267,0.0
4402,19.97,585186.0734117466,1.0,29.683685604785886,39.29678642486711,30.00297423747233,59.729207550044,A_j,0.31928863268644375,1,1.0,1.0,274.7054335847803,0.0
4403,20.3,507368.00814364234,1.0,26.45811035845853,40.13910487129952,26.7853035981036,61.53927430541439,A_j,0.3271932396450692,1,1.0,1.0,278.89849552183045,0.0
4404,21.21,411914.8422937072,1.0,22.042750413873495,41.71645698827561,22.392670429617787,66.69885635826338,A_j,0.34992001574429316,1,1.0,1.0,284.19017708764756,0.0
4405,20.83,418022.77501888754,1.0,22.44559402046649,41.26857364394058,22.785855020568942,64.51534336501928,A_j,0.3402610001024506,1,1.0,1.0,283.7380150310872,0.0
4406,21.02,456993.2777523176,1.0,24.608570537890767,41.4272246184932,24.953630369134142,65.60208615851317,A_j,0.3450598312433767,1,1.0,1.0,283.3611904754277,0.0
4407,19.67,552157.8125825027,1.0,29.900659898697445,39.56596489558571,30.21291342534073,58.11341143083595,A_j,0.3122535266432857,1,1.0,1.0,280.6340866755986,0.0
4408,20.69,572678.2778596247,1.0,30.70278082507086,40.83202873544984,31.03954469904431,63.72117288909581,A_j,0.3367638739734506,1,1.0,1.0,281.2068741349455,0.0
4409,20.17,528039.3536052747,1.0,28.59834406033766,40.35718645039435,28.92240239636096,60.82218974073284,A_j,0.3240583360233033,1,1.0,1.0,282.28624991246113,0.0
4410,16.39,412514.48772586416,1.0,23.172768155659092,34.947059364007785,23.41677792305421,42.41467498777712,A_j,0.244009767395118,1,1.0,1.0,283.24735578270656,0.0
4411,18.56,129783.24993442344,1.0,6.84288546083579,40.00685502816198,7.13031587071096,52.39115433374452,A_j,0.28743040987516977,1,1.0,1.0,301.20993414043573,0.0
4412,17.47,15884.27273804785,1.0,-0.26481272233958275,46.52296113240559,0.0,47.177934064833224,A_j,0.26481272233958275,1,1.0,1.0,417.8938013864372,-0.0
4413,13.68,16976.44690603762,1.0,-0.19818512051761297,36.67170221631448,0.0,32.16903269917261,A_j,0.19818512051761297,1,1.0,1.0,409.9779571608685,-0.0
4414,15.48,16476.65515022519,1.0,-0.2276470893739316,41.308867770662495,0.0,38.708019219741495,A_j,0.2276470893739316,1,1.0,1.0,413.4594810468815,-0.0
4415,14.58,16701.91041020486,1.0,-0.21245194445171173,38.9734607717705,0.0,35.310262076971306,A_j,0.21245194445171173,1,1.0,1.0,411.6916497523831,-0.0
4416,13.1,17052.382106083056,1.0,-0.18945884783969422,35.22005417323213,0.0,30.27509340423623,A_j,0.18945884783969422,1,1.0,1.0,409.08851617152374,-0.0
4417,13.49,16979.00632637354,1.0,-0.19528704569140554,36.19361330516807,0.0,31.537579405410813,A_j,0.19528704569140554,1,1.0,1.0,409.67679592038746,-0.0
4418,13.3,17044.307263584345,1.0,-0.19242758916564623,35.714770645918485,0.0,30.91691114686981,A_j,0.19242758916564623,1,1.0,1.0,409.30313506091744,-0.0
4419,12.85,17167.982731923195,1.0,-0.18580656415203886,34.594153787724096,0.0,29.489215861975577,A_j,0.18580656415203886,1,1.0,1.0,408.5262937242194,-0.0
4420,13.0,17135.11377904323,1.0,-0.1879901648829438,34.96427067972738,0.0,29.95857009675173,A_j,0.1879901648829438,1,1.0,1.0,408.7341167422587,-0.0
4421,12.92,31173.84673429509,1.0,0.7306953328903321,32.49252400881605,0.9175180211577424,29.707439927415518,A_j,0.18682268826741033,1,1.0,1.0,352.8750380618568,0.0
4422,18.36,389067.8017249222,1.0,21.303407051395226,38.32614092250066,21.586560378309304,51.40412401425701,A_j,0.2831533269140771,1,1.0,1.0,286.3666743395177,0.0
4423,14.66,551971.3949826392,1.0,29.826093771189356,31.970962074675132,30.03985803261734,35.60173342437644,A_j,0.21376426142798197,1,1.0,1.0,282.56704987756564,0.0
